Ticker,Org-Ticker,Company,Sector [6],Industry [6]
RNW.TO,RNW,TransAlta Renewables Inc.,Utilities,Independent Power Producers
TCL-A.TO,TCL-A,Transcontinental Inc.,Industrials,Business Services
TCN.TO,TCN,Tricon Residential Inc.,Real Estate,Real Estate
TSU.TO,TSU,Trisura Group Ltd.,Financial Services,Insurance
TRQ.TO,TRQ,Turquoise Hill Resources Ltd.,Basic Materials,Metals & Mining
VET.TO,VET,Vermilion Energy Inc.,Energy,Oil & Gas
WCN.TO,WCN,Waste Connections Inc.,Industrials,Waste Management
WELL.TO,WELL,WELL Health Technologies Corp.,Healthcare,Health Care Services
WDO.TO,WDO,Wesdome Gold Mines Ltd.,Basic Materials,Metals & Mining
WFG.TO,WFG,West Fraser Timber Co. Ltd.,Basic Materials,Forest Products
WPRT.TO,WPRT,Westport Fuel Systems Inc.,Consumer Cyclical,Vehicles & Parts
WTE.TO,WTE,Westshore Terminals Investment Corporation,Industrials,Transportation
WPM.TO,WPM,Wheaton Precious Metals Corp.,Basic Materials,Metals & Mining
WCP.TO,WCP,Whitecap Resources Inc.,Energy,Oil & Gas
WPK.TO,WPK,Winpak Ltd.,Consumer Cyclical,Packaging & Containers
WSP.TO,WSP,WSP Global Inc.,Industrials,Construction
YRI.TO,YRI,Yamana Gold Inc.,Basic Materials,Metals & Mining
